Profit:  -252 Capital:  747 Total trade:  1 Win trade:  0 Win rate:  0.0%
Profit:  2073 Capital:  2820 Total trade:  2 Win trade:  1 Win rate:  50.0%
Profit:  -712 Capital:  2108 Total trade:  3 Win trade:  1 Win rate:  33.3%
Profit:  -532 Capital:  1575 Total trade:  4 Win trade:  1 Win rate:  25.0%
Profit:  3179 Capital:  4755 Total trade:  5 Win trade:  2 Win rate:  40.0%
Profit:  -1200 Capital:  3554 Total trade:  6 Win trade:  2 Win rate:  33.3%
Profit:  -897 Capital:  2657 Total trade:  7 Win trade:  2 Win rate:  28.5%
Profit:  6131 Capital:  8788 Total trade:  8 Win trade:  3 Win rate:  37.5%
Profit:  -2206 Capital:  6582 Total trade:  9 Win trade:  3 Win rate:  33.3%
Profit:  -1662 Capital:  4920 Total trade:  10 Win trade:  3 Win rate:  30.0%
Profit:  10868 Capital:  15788 Total trade:  11 Win trade:  4 Win rate:  36.3%
Profit:  37297 Capital:  53085 Total trade:  12 Win trade:  5 Win rate:  41.6%
Profit:  -6313 Capital:  46772 Total trade:  13 Win trade:  5 Win rate:  38.4%
Profit:  -6313 Capital:  40459 Total trade:  14 Win trade:  5 Win rate:  35.7%
Profit:  -6313 Capital:  34146 Total trade:  15 Win trade:  5 Win rate:  33.3%
Profit:  -6313 Capital:  27833 Total trade:  16 Win trade:  5 Win rate:  31.2%
Profit:  49644 Capital:  77477 Total trade:  17 Win trade:  6 Win rate:  35.2%
Profit:  -6313 Capital:  71164 Total trade:  18 Win trade:  6 Win rate:  33.3%
Profit:  61712 Capital:  132877 Total trade:  19 Win trade:  7 Win rate:  36.8%
Profit:  -6313 Capital:  126563 Total trade:  20 Win trade:  7 Win rate:  35.0%
Profit:  -6313 Capital:  120250 Total trade:  21 Win trade:  7 Win rate:  33.3%
Profit:  -6313 Capital:  113937 Total trade:  22 Win trade:  7 Win rate:  31.8%
Profit:  -6313 Capital:  107624 Total trade:  23 Win trade:  7 Win rate:  30.4%
Profit:  -6313 Capital:  101311 Total trade:  24 Win trade:  7 Win rate:  29.1%
Profit:  -6313 Capital:  94998 Total trade:  25 Win trade:  7 Win rate:  28.0%
Profit:  53422 Capital:  148421 Total trade:  26 Win trade:  8 Win rate:  30.7%
Profit:  -6313 Capital:  142108 Total trade:  27 Win trade:  8 Win rate:  29.6%
Profit:  -6313 Capital:  135794 Total trade:  28 Win trade:  8 Win rate:  28.5%
Profit:  49934 Capital:  185729 Total trade:  29 Win trade:  9 Win rate:  31.0%
Profit:  -6313 Capital:  179415 Total trade:  30 Win trade:  9 Win rate:  30.0%
Profit:  -6313 Capital:  173102 Total trade:  31 Win trade:  9 Win rate:  29.0%
Profit:  -6313 Capital:  166789 Total trade:  32 Win trade:  9 Win rate:  28.1%
Profit:  -6313 Capital:  160476 Total trade:  33 Win trade:  9 Win rate:  27.2%
Profit:  -6313 Capital:  154163 Total trade:  34 Win trade:  9 Win rate:  26.4%
Profit:  48692 Capital:  202855 Total trade:  35 Win trade:  10 Win rate:  28.5%
Profit:  -6313 Capital:  196542 Total trade:  36 Win trade:  10 Win rate:  27.7%
Profit:  -6313 Capital:  190229 Total trade:  37 Win trade:  10 Win rate:  27.0%
Profit:  -6313 Capital:  183916 Total trade:  38 Win trade:  10 Win rate:  26.3%
Profit:  -6313 Capital:  177603 Total trade:  39 Win trade:  10 Win rate:  25.6%
Profit:  53390 Capital:  230993 Total trade:  40 Win trade:  11 Win rate:  27.5%
Profit:  -6313 Capital:  224680 Total trade:  41 Win trade:  11 Win rate:  26.8%
Profit:  -6313 Capital:  218367 Total trade:  42 Win trade:  11 Win rate:  26.1%
Profit:  -6207 Capital:  212159 Total trade:  43 Win trade:  11 Win rate:  25.5%
Profit:  -6313 Capital:  205846 Total trade:  44 Win trade:  11 Win rate:  25.0%
Profit:  -6313 Capital:  199533 Total trade:  45 Win trade:  11 Win rate:  24.4%
Profit:  -6313 Capital:  193220 Total trade:  46 Win trade:  11 Win rate:  23.9%
Profit:  -6313 Capital:  186907 Total trade:  47 Win trade:  11 Win rate:  23.4%
Profit:  -6313 Capital:  180594 Total trade:  48 Win trade:  11 Win rate:  22.9%
Profit:  -6313 Capital:  174281 Total trade:  49 Win trade:  11 Win rate:  22.4%
Profit:  -6313 Capital:  167967 Total trade:  50 Win trade:  11 Win rate:  22.0%
Profit:  -6313 Capital:  161654 Total trade:  51 Win trade:  11 Win rate:  21.5%
Profit:  -6313 Capital:  155341 Total trade:  52 Win trade:  11 Win rate:  21.1%
Profit:  -6313 Capital:  149028 Total trade:  53 Win trade:  11 Win rate:  20.7%
Profit:  -6313 Capital:  142715 Total trade:  54 Win trade:  11 Win rate:  20.3%
Profit:  -6150 Capital:  136564 Total trade:  55 Win trade:  11 Win rate:  20.0%
Profit:  50164 Capital:  186729 Total trade:  56 Win trade:  12 Win rate:  21.4%
Profit:  -6313 Capital:  180416 Total trade:  57 Win trade:  12 Win rate:  21.0%
Profit:  48464 Capital:  228880 Total trade:  58 Win trade:  13 Win rate:  22.4%
Profit:  -6313 Capital:  222567 Total trade:  59 Win trade:  13 Win rate:  22.0%
Profit:  -6266 Capital:  216300 Total trade:  60 Win trade:  13 Win rate:  21.6%
Profit:  -6313 Capital:  209987 Total trade:  61 Win trade:  13 Win rate:  21.3%
Profit:  -6313 Capital:  203674 Total trade:  62 Win trade:  13 Win rate:  20.9%
Profit:  -6313 Capital:  197361 Total trade:  63 Win trade:  13 Win rate:  20.6%
Profit:  -6313 Capital:  191048 Total trade:  64 Win trade:  13 Win rate:  20.3%
Profit:  -6313 Capital:  184734 Total trade:  65 Win trade:  13 Win rate:  20.0%
Profit:  -6313 Capital:  178421 Total trade:  66 Win trade:  13 Win rate:  19.6%
Profit:  -6313 Capital:  172108 Total trade:  67 Win trade:  13 Win rate:  19.4%
Profit:  48617 Capital:  220725 Total trade:  68 Win trade:  14 Win rate:  20.5%
Profit:  -6313 Capital:  214412 Total trade:  69 Win trade:  14 Win rate:  20.2%
Profit:  -6313 Capital:  208099 Total trade:  70 Win trade:  14 Win rate:  20.0%
Profit:  48449 Capital:  256549 Total trade:  71 Win trade:  15 Win rate:  21.1%
Profit:  -6313 Capital:  250236 Total trade:  72 Win trade:  15 Win rate:  20.8%
Profit:  49050 Capital:  299286 Total trade:  73 Win trade:  16 Win rate:  21.9%
Profit:  -6313 Capital:  292973 Total trade:  74 Win trade:  16 Win rate:  21.6%
Profit:  -6313 Capital:  286660 Total trade:  75 Win trade:  16 Win rate:  21.3%
Profit:  52328 Capital:  338989 Total trade:  76 Win trade:  17 Win rate:  22.3%
Profit:  52135 Capital:  391124 Total trade:  77 Win trade:  18 Win rate:  23.3%
Profit:  -6313 Capital:  384811 Total trade:  78 Win trade:  18 Win rate:  23.0%
Profit:  -6313 Capital:  378498 Total trade:  79 Win trade:  18 Win rate:  22.7%
Profit:  50483 Capital:  428982 Total trade:  80 Win trade:  19 Win rate:  23.7%
Profit:  -6313 Capital:  422669 Total trade:  81 Win trade:  19 Win rate:  23.4%
Profit:  48884 Capital:  471553 Total trade:  82 Win trade:  20 Win rate:  24.3%
Profit:  -6313 Capital:  465240 Total trade:  83 Win trade:  20 Win rate:  24.0%
Profit:  -6313 Capital:  458927 Total trade:  84 Win trade:  20 Win rate:  23.8%
Profit:  -6313 Capital:  452614 Total trade:  85 Win trade:  20 Win rate:  23.5%
