Profit:  -252 Capital:  747 Total trade:  1 Win trade:  0 Win rate:  0.0%
Profit:  3967 Capital:  4714 Total trade:  2 Win trade:  1 Win rate:  50.0%
Profit:  -1190 Capital:  3524 Total trade:  3 Win trade:  1 Win rate:  33.3%
Profit:  -889 Capital:  2634 Total trade:  4 Win trade:  1 Win rate:  25.0%
Profit:  -665 Capital:  1968 Total trade:  5 Win trade:  1 Win rate:  20.0%
Profit:  6425 Capital:  8394 Total trade:  6 Win trade:  2 Win rate:  33.3%
Profit:  -2107 Capital:  6287 Total trade:  7 Win trade:  2 Win rate:  28.5%
Profit:  -1587 Capital:  4699 Total trade:  8 Win trade:  2 Win rate:  25.0%
Profit:  15819 Capital:  20519 Total trade:  9 Win trade:  3 Win rate:  33.3%
Profit:  -5181 Capital:  15337 Total trade:  10 Win trade:  3 Win rate:  30.0%
Profit:  -3873 Capital:  11464 Total trade:  11 Win trade:  3 Win rate:  27.2%
Profit:  -2895 Capital:  8569 Total trade:  12 Win trade:  3 Win rate:  25.0%
Profit:  -2164 Capital:  6405 Total trade:  13 Win trade:  3 Win rate:  23.0%
Profit:  20376 Capital:  26782 Total trade:  14 Win trade:  4 Win rate:  28.5%
Profit:  -6313 Capital:  20469 Total trade:  15 Win trade:  4 Win rate:  26.6%
Profit:  90511 Capital:  110980 Total trade:  16 Win trade:  5 Win rate:  31.2%
Profit:  -6313 Capital:  104667 Total trade:  17 Win trade:  5 Win rate:  29.4%
Profit:  -6313 Capital:  98354 Total trade:  18 Win trade:  5 Win rate:  27.7%
Profit:  -6313 Capital:  92041 Total trade:  19 Win trade:  5 Win rate:  26.3%
Profit:  -6313 Capital:  85728 Total trade:  20 Win trade:  5 Win rate:  25.0%
Profit:  -6313 Capital:  79415 Total trade:  21 Win trade:  5 Win rate:  23.8%
Profit:  91423 Capital:  170838 Total trade:  22 Win trade:  6 Win rate:  27.2%
Profit:  -6313 Capital:  164525 Total trade:  23 Win trade:  6 Win rate:  26.0%
Profit:  -6313 Capital:  158212 Total trade:  24 Win trade:  6 Win rate:  25.0%
Profit:  80105 Capital:  238317 Total trade:  25 Win trade:  7 Win rate:  28.0%
Profit:  -6313 Capital:  232004 Total trade:  26 Win trade:  7 Win rate:  26.9%
Profit:  -6313 Capital:  225691 Total trade:  27 Win trade:  7 Win rate:  25.9%
Profit:  -6313 Capital:  219378 Total trade:  28 Win trade:  7 Win rate:  25.0%
Profit:  -6313 Capital:  213065 Total trade:  29 Win trade:  7 Win rate:  24.1%
Profit:  -6313 Capital:  206752 Total trade:  30 Win trade:  7 Win rate:  23.3%
Profit:  79608 Capital:  286360 Total trade:  31 Win trade:  8 Win rate:  25.8%
Profit:  -6313 Capital:  280047 Total trade:  32 Win trade:  8 Win rate:  25.0%
Profit:  -6313 Capital:  273734 Total trade:  33 Win trade:  8 Win rate:  24.2%
Profit:  -6313 Capital:  267421 Total trade:  34 Win trade:  8 Win rate:  23.5%
Profit:  -6313 Capital:  261107 Total trade:  35 Win trade:  8 Win rate:  22.8%
Profit:  -6207 Capital:  254900 Total trade:  36 Win trade:  8 Win rate:  22.2%
Profit:  -6313 Capital:  248587 Total trade:  37 Win trade:  8 Win rate:  21.6%
Profit:  -6313 Capital:  242273 Total trade:  38 Win trade:  8 Win rate:  21.0%
Profit:  -6313 Capital:  235960 Total trade:  39 Win trade:  8 Win rate:  20.5%
