Profit:  -252 Capital:  747 Total trade:  1 Win trade:  0 Win rate:  0.0%
Profit:  3967 Capital:  4714 Total trade:  2 Win trade:  1 Win rate:  50.0%
Profit:  -1190 Capital:  3524 Total trade:  3 Win trade:  1 Win rate:  33.3%
Profit:  -889 Capital:  2634 Total trade:  4 Win trade:  1 Win rate:  25.0%
Profit:  -665 Capital:  1968 Total trade:  5 Win trade:  1 Win rate:  20.0%
Profit:  6425 Capital:  8394 Total trade:  6 Win trade:  2 Win rate:  33.3%
Profit:  -2107 Capital:  6287 Total trade:  7 Win trade:  2 Win rate:  28.5%
Profit:  -1587 Capital:  4699 Total trade:  8 Win trade:  2 Win rate:  25.0%
Profit:  -1186 Capital:  3513 Total trade:  9 Win trade:  2 Win rate:  22.2%
Profit:  11824 Capital:  15337 Total trade:  10 Win trade:  3 Win rate:  30.0%
Profit:  -3873 Capital:  11464 Total trade:  11 Win trade:  3 Win rate:  27.2%
Profit:  -2895 Capital:  8569 Total trade:  12 Win trade:  3 Win rate:  25.0%
Profit:  -2164 Capital:  6405 Total trade:  13 Win trade:  3 Win rate:  23.0%
Profit:  -1617 Capital:  4788 Total trade:  14 Win trade:  3 Win rate:  21.4%
Profit:  -1209 Capital:  3578 Total trade:  15 Win trade:  3 Win rate:  20.0%
Profit:  -903 Capital:  2675 Total trade:  16 Win trade:  3 Win rate:  18.7%
Profit:  9083 Capital:  11758 Total trade:  17 Win trade:  4 Win rate:  23.5%
Profit:  -2969 Capital:  8789 Total trade:  18 Win trade:  4 Win rate:  22.2%
Profit:  38863 Capital:  47652 Total trade:  19 Win trade:  5 Win rate:  26.3%
Profit:  -6313 Capital:  41339 Total trade:  20 Win trade:  5 Win rate:  25.0%
Profit:  -6313 Capital:  35026 Total trade:  21 Win trade:  5 Win rate:  23.8%
Profit:  87440 Capital:  122466 Total trade:  22 Win trade:  6 Win rate:  27.2%
Profit:  -6313 Capital:  116153 Total trade:  23 Win trade:  6 Win rate:  26.0%
Profit:  -6313 Capital:  109840 Total trade:  24 Win trade:  6 Win rate:  25.0%
Profit:  88757 Capital:  198597 Total trade:  25 Win trade:  7 Win rate:  28.0%
Profit:  91423 Capital:  290021 Total trade:  26 Win trade:  8 Win rate:  30.7%
Profit:  -6313 Capital:  283708 Total trade:  27 Win trade:  8 Win rate:  29.6%
Profit:  -6313 Capital:  277395 Total trade:  28 Win trade:  8 Win rate:  28.5%
Profit:  80105 Capital:  357500 Total trade:  29 Win trade:  9 Win rate:  31.0%
Profit:  -6313 Capital:  351187 Total trade:  30 Win trade:  9 Win rate:  30.0%
Profit:  -6313 Capital:  344874 Total trade:  31 Win trade:  9 Win rate:  29.0%
Profit:  -6313 Capital:  338560 Total trade:  32 Win trade:  9 Win rate:  28.1%
Profit:  -6313 Capital:  332247 Total trade:  33 Win trade:  9 Win rate:  27.2%
Profit:  84206 Capital:  416454 Total trade:  34 Win trade:  10 Win rate:  29.4%
Profit:  -6313 Capital:  410141 Total trade:  35 Win trade:  10 Win rate:  28.5%
Profit:  -6313 Capital:  403828 Total trade:  36 Win trade:  10 Win rate:  27.7%
Profit:  -6313 Capital:  397515 Total trade:  37 Win trade:  10 Win rate:  27.0%
Profit:  -6313 Capital:  391201 Total trade:  38 Win trade:  10 Win rate:  26.3%
Profit:  -6313 Capital:  384888 Total trade:  39 Win trade:  10 Win rate:  25.6%
