Profit:  154378 Capital:  494752 Total trade:  74 Win trade:  9 Win rate:  12.1%
Profit:  -6313 Capital:  488439 Total trade:  75 Win trade:  9 Win rate:  12.0%
Profit:  136212 Capital:  624652 Total trade:  76 Win trade:  10 Win rate:  13.1%
Profit:  -6313 Capital:  618339 Total trade:  77 Win trade:  10 Win rate:  12.9%
Profit:  -6313 Capital:  612026 Total trade:  78 Win trade:  10 Win rate:  12.8%
Profit:  -6313 Capital:  605712 Total trade:  79 Win trade:  10 Win rate:  12.6%
Profit:  -6313 Capital:  599399 Total trade:  80 Win trade:  10 Win rate:  12.5%
Profit:  123580 Capital:  722980 Total trade:  81 Win trade:  11 Win rate:  13.5%
Profit:  -6313 Capital:  716667 Total trade:  82 Win trade:  11 Win rate:  13.4%
Profit:  -6313 Capital:  710354 Total trade:  83 Win trade:  11 Win rate:  13.2%
Profit:  -6313 Capital:  704041 Total trade:  84 Win trade:  11 Win rate:  13.0%
Profit:  -6313 Capital:  697727 Total trade:  85 Win trade:  11 Win rate:  12.9%
Profit:  -6313 Capital:  691414 Total trade:  86 Win trade:  11 Win rate:  12.7%
Profit:  -6313 Capital:  685101 Total trade:  87 Win trade:  11 Win rate:  12.6%
Profit:  -6313 Capital:  678788 Total trade:  88 Win trade:  11 Win rate:  12.5%
Profit:  -6313 Capital:  672475 Total trade:  89 Win trade:  11 Win rate:  12.3%
Profit:  -6313 Capital:  666162 Total trade:  90 Win trade:  11 Win rate:  12.2%
Profit:  129968 Capital:  796131 Total trade:  91 Win trade:  12 Win rate:  13.1%
Profit:  -6313 Capital:  789818 Total trade:  92 Win trade:  12 Win rate:  13.0%
Profit:  -6313 Capital:  783505 Total trade:  93 Win trade:  12 Win rate:  12.9%
Profit:  -6313 Capital:  777191 Total trade:  94 Win trade:  12 Win rate:  12.7%
Profit:  -6313 Capital:  770878 Total trade:  95 Win trade:  12 Win rate:  12.6%
Profit:  -6313 Capital:  764565 Total trade:  96 Win trade:  12 Win rate:  12.5%
Profit:  -6313 Capital:  758252 Total trade:  97 Win trade:  12 Win rate:  12.3%
Profit:  -6313 Capital:  751939 Total trade:  98 Win trade:  12 Win rate:  12.2%
Profit:  -6313 Capital:  745626 Total trade:  99 Win trade:  12 Win rate:  12.1%
Profit:  -6313 Capital:  739313 Total trade:  100 Win trade:  12 Win rate:  12.0%
Profit:  -6313 Capital:  732999 Total trade:  101 Win trade:  12 Win rate:  11.8%
Profit:  -6313 Capital:  726686 Total trade:  102 Win trade:  12 Win rate:  11.7%
Profit:  -6313 Capital:  720373 Total trade:  103 Win trade:  12 Win rate:  11.6%
Profit:  -6313 Capital:  714060 Total trade:  104 Win trade:  12 Win rate:  11.5%
Profit:  -6313 Capital:  707747 Total trade:  105 Win trade:  12 Win rate:  11.4%
Profit:  -6313 Capital:  701434 Total trade:  106 Win trade:  12 Win rate:  11.3%
Profit:  -6313 Capital:  695121 Total trade:  107 Win trade:  12 Win rate:  11.2%
Profit:  -6313 Capital:  688808 Total trade:  108 Win trade:  12 Win rate:  11.1%
Profit:  -6313 Capital:  682494 Total trade:  109 Win trade:  12 Win rate:  11.0%
Profit:  -6313 Capital:  676181 Total trade:  110 Win trade:  12 Win rate:  10.9%
Profit:  -6313 Capital:  669868 Total trade:  111 Win trade:  12 Win rate:  10.8%
Profit:  -6313 Capital:  663555 Total trade:  112 Win trade:  12 Win rate:  10.7%
Profit:  -6313 Capital:  657242 Total trade:  113 Win trade:  12 Win rate:  10.6%
Profit:  -6313 Capital:  650929 Total trade:  114 Win trade:  12 Win rate:  10.5%
Profit:  -6313 Capital:  644616 Total trade:  115 Win trade:  12 Win rate:  10.4%
Profit:  -6313 Capital:  638302 Total trade:  116 Win trade:  12 Win rate:  10.3%
Profit:  -6313 Capital:  631989 Total trade:  117 Win trade:  12 Win rate:  10.2%
Profit:  -6313 Capital:  625676 Total trade:  118 Win trade:  12 Win rate:  10.1%
Profit:  -6313 Capital:  619363 Total trade:  119 Win trade:  12 Win rate:  10.0%
Profit:  -6313 Capital:  613050 Total trade:  120 Win trade:  12 Win rate:  10.0%
Profit:  -6313 Capital:  606737 Total trade:  121 Win trade:  12 Win rate:  9.9%
Profit:  -6313 Capital:  600424 Total trade:  122 Win trade:  12 Win rate:  9.8%
