Profit:  -252 Capital:  747 Total trade:  1 Win trade:  0 Win rate:  0.0%
Profit:  3967 Capital:  4714 Total trade:  2 Win trade:  1 Win rate:  50.0%
Profit:  -1190 Capital:  3524 Total trade:  3 Win trade:  1 Win rate:  33.3%
Profit:  -889 Capital:  2634 Total trade:  4 Win trade:  1 Win rate:  25.0%
Profit:  -665 Capital:  1968 Total trade:  5 Win trade:  1 Win rate:  20.0%
Profit:  8281 Capital:  10250 Total trade:  6 Win trade:  2 Win rate:  33.3%
Profit:  -2588 Capital:  7661 Total trade:  7 Win trade:  2 Win rate:  28.5%
Profit:  34262 Capital:  41924 Total trade:  8 Win trade:  3 Win rate:  37.5%
Profit:  -6313 Capital:  35611 Total trade:  9 Win trade:  3 Win rate:  33.3%
Profit:  -6313 Capital:  29298 Total trade:  10 Win trade:  3 Win rate:  30.0%
Profit:  -6313 Capital:  22985 Total trade:  11 Win trade:  3 Win rate:  27.2%
Profit:  99427 Capital:  122412 Total trade:  12 Win trade:  4 Win rate:  33.3%
Profit:  -6126 Capital:  116286 Total trade:  13 Win trade:  4 Win rate:  30.7%
Profit:  -6313 Capital:  109973 Total trade:  14 Win trade:  4 Win rate:  28.5%
Profit:  -6313 Capital:  103659 Total trade:  15 Win trade:  4 Win rate:  26.6%
Profit:  -6313 Capital:  97346 Total trade:  16 Win trade:  4 Win rate:  25.0%
Profit:  -6313 Capital:  91033 Total trade:  17 Win trade:  4 Win rate:  23.5%
Profit:  -6313 Capital:  84720 Total trade:  18 Win trade:  4 Win rate:  22.2%
Profit:  -6313 Capital:  78407 Total trade:  19 Win trade:  4 Win rate:  21.0%
Profit:  92773 Capital:  171180 Total trade:  20 Win trade:  5 Win rate:  25.0%
Profit:  -6313 Capital:  164867 Total trade:  21 Win trade:  5 Win rate:  23.8%
Profit:  -6313 Capital:  158554 Total trade:  22 Win trade:  5 Win rate:  22.7%
Profit:  98216 Capital:  256770 Total trade:  23 Win trade:  6 Win rate:  26.0%
Profit:  -6313 Capital:  250457 Total trade:  24 Win trade:  6 Win rate:  25.0%
Profit:  -6313 Capital:  244144 Total trade:  25 Win trade:  6 Win rate:  24.0%
Profit:  -6313 Capital:  237830 Total trade:  26 Win trade:  6 Win rate:  23.0%
Profit:  -6313 Capital:  231517 Total trade:  27 Win trade:  6 Win rate:  22.2%
Profit:  -6313 Capital:  225204 Total trade:  28 Win trade:  6 Win rate:  21.4%
Profit:  92067 Capital:  317272 Total trade:  29 Win trade:  7 Win rate:  24.1%
Profit:  -6313 Capital:  310959 Total trade:  30 Win trade:  7 Win rate:  23.3%
Profit:  -6313 Capital:  304646 Total trade:  31 Win trade:  7 Win rate:  22.5%
Profit:  -6313 Capital:  298332 Total trade:  32 Win trade:  7 Win rate:  21.8%
Profit:  -6313 Capital:  292019 Total trade:  33 Win trade:  7 Win rate:  21.2%
Profit:  -6207 Capital:  285812 Total trade:  34 Win trade:  7 Win rate:  20.5%
Profit:  -6313 Capital:  279498 Total trade:  35 Win trade:  7 Win rate:  20.0%
Profit:  -6313 Capital:  273185 Total trade:  36 Win trade:  7 Win rate:  19.4%
Profit:  -6313 Capital:  266872 Total trade:  37 Win trade:  7 Win rate:  18.9%
Profit:  -6313 Capital:  260559 Total trade:  38 Win trade:  7 Win rate:  18.4%
Profit:  -6313 Capital:  254246 Total trade:  39 Win trade:  7 Win rate:  17.9%
