Profit:  -252 Capital:  747 Total trade:  1 Win trade:  0 Win rate:  0.0%
Profit:  2073 Capital:  2820 Total trade:  2 Win trade:  1 Win rate:  50.0%
Profit:  -712 Capital:  2108 Total trade:  3 Win trade:  1 Win rate:  33.3%
Profit:  -532 Capital:  1575 Total trade:  4 Win trade:  1 Win rate:  25.0%
Profit:  2458 Capital:  4034 Total trade:  5 Win trade:  2 Win rate:  40.0%
Profit:  -1018 Capital:  3015 Total trade:  6 Win trade:  2 Win rate:  33.3%
Profit:  -761 Capital:  2254 Total trade:  7 Win trade:  2 Win rate:  28.5%
Profit:  3793 Capital:  6047 Total trade:  8 Win trade:  3 Win rate:  37.5%
Profit:  -1518 Capital:  4529 Total trade:  9 Win trade:  3 Win rate:  33.3%
Profit:  -1143 Capital:  3385 Total trade:  10 Win trade:  3 Win rate:  30.0%
Profit:  7478 Capital:  10863 Total trade:  11 Win trade:  4 Win rate:  36.3%
Profit:  25662 Capital:  36526 Total trade:  12 Win trade:  5 Win rate:  41.6%
Profit:  -6313 Capital:  30213 Total trade:  13 Win trade:  5 Win rate:  38.4%
Profit:  -6313 Capital:  23899 Total trade:  14 Win trade:  5 Win rate:  35.7%
Profit:  -6035 Capital:  17864 Total trade:  15 Win trade:  5 Win rate:  33.3%
Profit:  -4511 Capital:  13353 Total trade:  16 Win trade:  5 Win rate:  31.2%
Profit:  26516 Capital:  39870 Total trade:  17 Win trade:  6 Win rate:  35.2%
Profit:  -6313 Capital:  33557 Total trade:  18 Win trade:  6 Win rate:  33.3%
Profit:  61712 Capital:  95269 Total trade:  19 Win trade:  7 Win rate:  36.8%
Profit:  -6313 Capital:  88956 Total trade:  20 Win trade:  7 Win rate:  35.0%
Profit:  -6313 Capital:  82643 Total trade:  21 Win trade:  7 Win rate:  33.3%
Profit:  -6313 Capital:  76330 Total trade:  22 Win trade:  7 Win rate:  31.8%
Profit:  -6313 Capital:  70016 Total trade:  23 Win trade:  7 Win rate:  30.4%
Profit:  -6313 Capital:  63703 Total trade:  24 Win trade:  7 Win rate:  29.1%
Profit:  -6313 Capital:  57390 Total trade:  25 Win trade:  7 Win rate:  28.0%
Profit:  39087 Capital:  96477 Total trade:  26 Win trade:  8 Win rate:  30.7%
Profit:  -6313 Capital:  90164 Total trade:  27 Win trade:  8 Win rate:  29.6%
Profit:  -6313 Capital:  83851 Total trade:  28 Win trade:  8 Win rate:  28.5%
Profit:  36729 Capital:  120580 Total trade:  29 Win trade:  9 Win rate:  31.0%
Profit:  -6313 Capital:  114267 Total trade:  30 Win trade:  9 Win rate:  30.0%
Profit:  -6313 Capital:  107954 Total trade:  31 Win trade:  9 Win rate:  29.0%
Profit:  -6313 Capital:  101641 Total trade:  32 Win trade:  9 Win rate:  28.1%
Profit:  -6313 Capital:  95328 Total trade:  33 Win trade:  9 Win rate:  27.2%
Profit:  -6313 Capital:  89015 Total trade:  34 Win trade:  9 Win rate:  26.4%
Profit:  39044 Capital:  128059 Total trade:  35 Win trade:  10 Win rate:  28.5%
Profit:  -6313 Capital:  121746 Total trade:  36 Win trade:  10 Win rate:  27.7%
Profit:  -6313 Capital:  115433 Total trade:  37 Win trade:  10 Win rate:  27.0%
Profit:  -6313 Capital:  109119 Total trade:  38 Win trade:  10 Win rate:  26.3%
Profit:  -6313 Capital:  102806 Total trade:  39 Win trade:  10 Win rate:  25.6%
Profit:  43876 Capital:  146683 Total trade:  40 Win trade:  11 Win rate:  27.5%
Profit:  -6313 Capital:  140369 Total trade:  41 Win trade:  11 Win rate:  26.8%
Profit:  -6313 Capital:  134056 Total trade:  42 Win trade:  11 Win rate:  26.1%
Profit:  -6207 Capital:  127849 Total trade:  43 Win trade:  11 Win rate:  25.5%
Profit:  -6313 Capital:  121535 Total trade:  44 Win trade:  11 Win rate:  25.0%
Profit:  -6313 Capital:  115222 Total trade:  45 Win trade:  11 Win rate:  24.4%
Profit:  -6313 Capital:  108909 Total trade:  46 Win trade:  11 Win rate:  23.9%
Profit:  -6313 Capital:  102596 Total trade:  47 Win trade:  11 Win rate:  23.4%
Profit:  -6313 Capital:  96283 Total trade:  48 Win trade:  11 Win rate:  22.9%
Profit:  -6313 Capital:  89970 Total trade:  49 Win trade:  11 Win rate:  22.4%
Profit:  -6313 Capital:  83657 Total trade:  50 Win trade:  11 Win rate:  22.0%
Profit:  37742 Capital:  121399 Total trade:  51 Win trade:  12 Win rate:  23.5%
Profit:  -6313 Capital:  115086 Total trade:  52 Win trade:  12 Win rate:  23.0%
Profit:  -6313 Capital:  108773 Total trade:  53 Win trade:  12 Win rate:  22.6%
Profit:  -6313 Capital:  102459 Total trade:  54 Win trade:  12 Win rate:  22.2%
Profit:  -6150 Capital:  96309 Total trade:  55 Win trade:  12 Win rate:  21.8%
Profit:  36436 Capital:  132745 Total trade:  56 Win trade:  13 Win rate:  23.2%
Profit:  -6313 Capital:  126432 Total trade:  57 Win trade:  13 Win rate:  22.8%
Profit:  39624 Capital:  166057 Total trade:  58 Win trade:  14 Win rate:  24.1%
Profit:  -6313 Capital:  159743 Total trade:  59 Win trade:  14 Win rate:  23.7%
Profit:  -6266 Capital:  153476 Total trade:  60 Win trade:  14 Win rate:  23.3%
Profit:  -6313 Capital:  147163 Total trade:  61 Win trade:  14 Win rate:  22.9%
Profit:  -6313 Capital:  140850 Total trade:  62 Win trade:  14 Win rate:  22.5%
Profit:  -6313 Capital:  134537 Total trade:  63 Win trade:  14 Win rate:  22.2%
Profit:  -6313 Capital:  128224 Total trade:  64 Win trade:  14 Win rate:  21.8%
Profit:  -6313 Capital:  121911 Total trade:  65 Win trade:  14 Win rate:  21.5%
Profit:  -6313 Capital:  115598 Total trade:  66 Win trade:  14 Win rate:  21.2%
Profit:  -6313 Capital:  109284 Total trade:  67 Win trade:  14 Win rate:  20.8%
Profit:  38777 Capital:  148062 Total trade:  68 Win trade:  15 Win rate:  22.0%
Profit:  -6313 Capital:  141749 Total trade:  69 Win trade:  15 Win rate:  21.7%
Profit:  -6313 Capital:  135436 Total trade:  70 Win trade:  15 Win rate:  21.4%
Profit:  37455 Capital:  172891 Total trade:  71 Win trade:  16 Win rate:  22.5%
Profit:  -6313 Capital:  166578 Total trade:  72 Win trade:  16 Win rate:  22.2%
Profit:  40027 Capital:  206605 Total trade:  73 Win trade:  17 Win rate:  23.2%
Profit:  -6313 Capital:  200292 Total trade:  74 Win trade:  17 Win rate:  22.9%
Profit:  -6313 Capital:  193979 Total trade:  75 Win trade:  17 Win rate:  22.6%
Profit:  40065 Capital:  234044 Total trade:  76 Win trade:  18 Win rate:  23.6%
Profit:  41445 Capital:  275489 Total trade:  77 Win trade:  19 Win rate:  24.6%
Profit:  -6313 Capital:  269176 Total trade:  78 Win trade:  19 Win rate:  24.3%
Profit:  -6313 Capital:  262863 Total trade:  79 Win trade:  19 Win rate:  24.0%
Profit:  43789 Capital:  306652 Total trade:  80 Win trade:  20 Win rate:  25.0%
Profit:  -6313 Capital:  300339 Total trade:  81 Win trade:  20 Win rate:  24.6%
Profit:  48884 Capital:  349224 Total trade:  82 Win trade:  21 Win rate:  25.6%
Profit:  -6313 Capital:  342911 Total trade:  83 Win trade:  21 Win rate:  25.3%
Profit:  -6313 Capital:  336597 Total trade:  84 Win trade:  21 Win rate:  25.0%
Profit:  -6313 Capital:  330284 Total trade:  85 Win trade:  21 Win rate:  24.7%
