Profit:  1006 Capital:  2006 Total trade:  1 Win trade:  1 Win rate:  100.0%
Profit:  4424 Capital:  6431 Total trade:  2 Win trade:  2 Win rate:  100.0%
Profit:  -1624 Capital:  4807 Total trade:  3 Win trade:  2 Win rate:  66.6%
Profit:  5131 Capital:  9938 Total trade:  4 Win trade:  3 Win rate:  75.0%
Profit:  -2509 Capital:  7428 Total trade:  5 Win trade:  3 Win rate:  60.0%
Profit:  -1876 Capital:  5552 Total trade:  6 Win trade:  3 Win rate:  50.0%
Profit:  6238 Capital:  11791 Total trade:  7 Win trade:  4 Win rate:  57.1%
Profit:  -2959 Capital:  8831 Total trade:  8 Win trade:  4 Win rate:  50.0%
Profit:  19507 Capital:  28338 Total trade:  9 Win trade:  5 Win rate:  55.5%
Profit:  34020 Capital:  62359 Total trade:  10 Win trade:  6 Win rate:  60.0%
Profit:  -6313 Capital:  56046 Total trade:  11 Win trade:  6 Win rate:  54.5%
Profit:  -6313 Capital:  49733 Total trade:  12 Win trade:  6 Win rate:  50.0%
Profit:  -6313 Capital:  43420 Total trade:  13 Win trade:  6 Win rate:  46.1%
Profit:  -6313 Capital:  37106 Total trade:  14 Win trade:  6 Win rate:  42.8%
Profit:  -6313 Capital:  30793 Total trade:  15 Win trade:  6 Win rate:  40.0%
Profit:  49644 Capital:  80438 Total trade:  16 Win trade:  7 Win rate:  43.7%
Profit:  -6313 Capital:  74125 Total trade:  17 Win trade:  7 Win rate:  41.1%
Profit:  -6126 Capital:  67999 Total trade:  18 Win trade:  7 Win rate:  38.8%
Profit:  42577 Capital:  110576 Total trade:  19 Win trade:  8 Win rate:  42.1%
Profit:  -6313 Capital:  104263 Total trade:  20 Win trade:  8 Win rate:  40.0%
Profit:  -6313 Capital:  97950 Total trade:  21 Win trade:  8 Win rate:  38.0%
Profit:  -6313 Capital:  91637 Total trade:  22 Win trade:  8 Win rate:  36.3%
Profit:  -6313 Capital:  85323 Total trade:  23 Win trade:  8 Win rate:  34.7%
Profit:  -6313 Capital:  79010 Total trade:  24 Win trade:  8 Win rate:  33.3%
Profit:  -6313 Capital:  72697 Total trade:  25 Win trade:  8 Win rate:  32.0%
Profit:  28089 Capital:  100786 Total trade:  26 Win trade:  9 Win rate:  34.6%
Profit:  -6313 Capital:  94473 Total trade:  27 Win trade:  9 Win rate:  33.3%
Profit:  -6313 Capital:  88160 Total trade:  28 Win trade:  9 Win rate:  32.1%
Profit:  29165 Capital:  117325 Total trade:  29 Win trade:  10 Win rate:  34.4%
Profit:  -6313 Capital:  111012 Total trade:  30 Win trade:  10 Win rate:  33.3%
Profit:  23661 Capital:  134674 Total trade:  31 Win trade:  11 Win rate:  35.4%
Profit:  33922 Capital:  168596 Total trade:  32 Win trade:  12 Win rate:  37.5%
Profit:  -6313 Capital:  162283 Total trade:  33 Win trade:  12 Win rate:  36.3%
Profit:  24063 Capital:  186346 Total trade:  34 Win trade:  13 Win rate:  38.2%
Profit:  -6313 Capital:  180033 Total trade:  35 Win trade:  13 Win rate:  37.1%
Profit:  -6313 Capital:  173720 Total trade:  36 Win trade:  13 Win rate:  36.1%
Profit:  -6313 Capital:  167407 Total trade:  37 Win trade:  13 Win rate:  35.1%
Profit:  28878 Capital:  196285 Total trade:  38 Win trade:  14 Win rate:  36.8%
Profit:  -6313 Capital:  189972 Total trade:  39 Win trade:  14 Win rate:  35.8%
Profit:  29603 Capital:  219576 Total trade:  40 Win trade:  15 Win rate:  37.5%
Profit:  34982 Capital:  254558 Total trade:  41 Win trade:  16 Win rate:  39.0%
Profit:  -6266 Capital:  248291 Total trade:  42 Win trade:  16 Win rate:  38.0%
Profit:  -6313 Capital:  241978 Total trade:  43 Win trade:  16 Win rate:  37.2%
Profit:  -6313 Capital:  235665 Total trade:  44 Win trade:  16 Win rate:  36.3%
Profit:  -6313 Capital:  229352 Total trade:  45 Win trade:  16 Win rate:  35.5%
Profit:  38777 Capital:  268129 Total trade:  46 Win trade:  17 Win rate:  36.9%
Profit:  -6313 Capital:  261816 Total trade:  47 Win trade:  17 Win rate:  36.1%
Profit:  25183 Capital:  287000 Total trade:  48 Win trade:  18 Win rate:  37.5%
Profit:  -6313 Capital:  280686 Total trade:  49 Win trade:  18 Win rate:  36.7%
Profit:  23862 Capital:  304549 Total trade:  50 Win trade:  19 Win rate:  38.0%
Profit:  -6313 Capital:  298236 Total trade:  51 Win trade:  19 Win rate:  37.2%
Profit:  27439 Capital:  325676 Total trade:  52 Win trade:  20 Win rate:  38.4%
Profit:  30958 Capital:  356634 Total trade:  53 Win trade:  21 Win rate:  39.6%
Profit:  23693 Capital:  380327 Total trade:  54 Win trade:  22 Win rate:  40.7%
Profit:  -6313 Capital:  374014 Total trade:  55 Win trade:  22 Win rate:  40.0%
Profit:  -6313 Capital:  367701 Total trade:  56 Win trade:  22 Win rate:  39.2%
Profit:  29475 Capital:  397177 Total trade:  57 Win trade:  23 Win rate:  40.3%
Profit:  -6313 Capital:  390864 Total trade:  58 Win trade:  23 Win rate:  39.6%
Profit:  -6313 Capital:  384550 Total trade:  59 Win trade:  23 Win rate:  38.9%
Profit:  -6313 Capital:  378237 Total trade:  60 Win trade:  23 Win rate:  38.3%
Profit:  -6313 Capital:  371924 Total trade:  61 Win trade:  23 Win rate:  37.7%
Profit:  -6313 Capital:  365611 Total trade:  62 Win trade:  23 Win rate:  37.0%
Profit:  31331 Capital:  396942 Total trade:  63 Win trade:  24 Win rate:  38.0%
Profit:  -6313 Capital:  390629 Total trade:  64 Win trade:  24 Win rate:  37.5%
Profit:  -6313 Capital:  384316 Total trade:  65 Win trade:  24 Win rate:  36.9%
Profit:  -6313 Capital:  378003 Total trade:  66 Win trade:  24 Win rate:  36.3%
Profit:  -6313 Capital:  371690 Total trade:  67 Win trade:  24 Win rate:  35.8%
Profit:  -6313 Capital:  365377 Total trade:  68 Win trade:  24 Win rate:  35.2%
