Profit:  -252 Capital:  747 Total trade:  1 Win trade:  0 Win rate:  0.0%
Profit:  3967 Capital:  4714 Total trade:  2 Win trade:  1 Win rate:  50.0%
Profit:  -1190 Capital:  3524 Total trade:  3 Win trade:  1 Win rate:  33.3%
Profit:  -889 Capital:  2634 Total trade:  4 Win trade:  1 Win rate:  25.0%
Profit:  -665 Capital:  1968 Total trade:  5 Win trade:  1 Win rate:  20.0%
Profit:  10061 Capital:  12030 Total trade:  6 Win trade:  2 Win rate:  33.3%
Profit:  -3038 Capital:  8992 Total trade:  7 Win trade:  2 Win rate:  28.5%
Profit:  55446 Capital:  64439 Total trade:  8 Win trade:  3 Win rate:  37.5%
Profit:  141458 Capital:  205898 Total trade:  9 Win trade:  4 Win rate:  44.4%
Profit:  -6313 Capital:  199585 Total trade:  10 Win trade:  4 Win rate:  40.0%
Profit:  -6313 Capital:  193272 Total trade:  11 Win trade:  4 Win rate:  36.3%
Profit:  -6313 Capital:  186959 Total trade:  12 Win trade:  4 Win rate:  33.3%
Profit:  -6313 Capital:  180645 Total trade:  13 Win trade:  4 Win rate:  30.7%
Profit:  -6313 Capital:  174332 Total trade:  14 Win trade:  4 Win rate:  28.5%
Profit:  -6313 Capital:  168019 Total trade:  15 Win trade:  4 Win rate:  26.6%
Profit:  126365 Capital:  294385 Total trade:  16 Win trade:  5 Win rate:  31.2%
Profit:  -6313 Capital:  288071 Total trade:  17 Win trade:  5 Win rate:  29.4%
Profit:  -6313 Capital:  281758 Total trade:  18 Win trade:  5 Win rate:  27.7%
Profit:  -6313 Capital:  275445 Total trade:  19 Win trade:  5 Win rate:  26.3%
Profit:  -6313 Capital:  269132 Total trade:  20 Win trade:  5 Win rate:  25.0%
Profit:  -6313 Capital:  262819 Total trade:  21 Win trade:  5 Win rate:  23.8%
Profit:  -6313 Capital:  256506 Total trade:  22 Win trade:  5 Win rate:  22.7%
Profit:  -6313 Capital:  250193 Total trade:  23 Win trade:  5 Win rate:  21.7%
Profit:  -6313 Capital:  243880 Total trade:  24 Win trade:  5 Win rate:  20.8%
Profit:  -6313 Capital:  237566 Total trade:  25 Win trade:  5 Win rate:  20.0%
Profit:  -6313 Capital:  231253 Total trade:  26 Win trade:  5 Win rate:  19.2%
Profit:  -6313 Capital:  224940 Total trade:  27 Win trade:  5 Win rate:  18.5%
Profit:  -6207 Capital:  218732 Total trade:  28 Win trade:  5 Win rate:  17.8%
Profit:  -6313 Capital:  212419 Total trade:  29 Win trade:  5 Win rate:  17.2%
Profit:  -6313 Capital:  206106 Total trade:  30 Win trade:  5 Win rate:  16.6%
Profit:  -6313 Capital:  199793 Total trade:  31 Win trade:  5 Win rate:  16.1%
Profit:  -6313 Capital:  193480 Total trade:  32 Win trade:  5 Win rate:  15.6%
Profit:  -6313 Capital:  187167 Total trade:  33 Win trade:  5 Win rate:  15.1%
Profit:  -6313 Capital:  180854 Total trade:  34 Win trade:  5 Win rate:  14.7%
Profit:  -6313 Capital:  174541 Total trade:  35 Win trade:  5 Win rate:  14.2%
Profit:  -6313 Capital:  168227 Total trade:  36 Win trade:  5 Win rate:  13.8%
Profit:  -6313 Capital:  161914 Total trade:  37 Win trade:  5 Win rate:  13.5%
Profit:  -6313 Capital:  155601 Total trade:  38 Win trade:  5 Win rate:  13.1%
Profit:  -6313 Capital:  149288 Total trade:  39 Win trade:  5 Win rate:  12.8%
